Kode;Nama;Kategori Induk
4.1.01;Pajak Daerah;
4.1.01.09;Pajak Reklame;Pajak Daerah
4.1.01.11;Pajak Parkir;Pajak Daerah
4.1.01.12;Pajak Air Tanah;Pajak Daerah
4.1.01.13;Pajak Sarang Burung Walet;Pajak Daerah
4.1.01.14;Pajak Mineral Bukan Logam dan Batuan;Pajak Daerah
4.1.01.15;Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBBP2);Pajak Daerah
4.1.01.16;Bea Perolehan Hak Atas Tanah dan Bangunan (BPHTB);Pajak Daerah
4.1.01.19;Pajak Barang dan Jasa Tertentu (PBJT);Pajak Daerah
4.1.01.19.001;PBJT-Makanan dan/atau Minuman;Pajak Barang dan Jasa Tertentu (PBJT)
4.1.01.19.002;PBJT-Tenaga Listrik;Pajak Barang dan Jasa Tertentu (PBJT)
4.1.01.19.003;PBJT-Jasa Perhotelan;Pajak Barang dan Jasa Tertentu (PBJT)
4.1.01.19.004;PBJT-Jasa Parkir;Pajak Barang dan Jasa Tertentu (PBJT)
4.1.01.19.005;PBJT-Jasa Kesenian dan Hiburan;Pajak Barang dan Jasa Tertentu (PBJT)
4.1.01.20;Opsen Pajak Kendaraan Bermotor (PKB);Pajak Daerah
4.1.01.21;Opsen Bea Balik Nama Kendaraan Bermotor (BBNKB);Pajak Daerah
4.1.02;Retribusi Daerah;
4.1.02.01;Retribusi Jasa Umum;Retribusi Daerah
4.1.02.01.001;Retribusi Pelayanan Kesehatan;Retribusi Jasa Umum
4.1.02.01.001.00001;Retribusi Pelayanan Kesehatan di Puskesmas;Retribusi Pelayanan Kesehatan
4.1.02.01.001.00006;Retribusi Pelayanan Kesehatan di Tempat Pelayanan Kesehatan Lainnya yang Sejenis;Retribusi Pelayanan Kesehatan
4.1.02.01.002;Retribusi Pelayanan Persampahan/ Kebersihan;Retribusi Jasa Umum
4.1.02.01.004;Retribusi Pelayanan Parkir di Tepi Jalan Umum;Retribusi Jasa Umum
4.1.02.01.005;Retribusi Pelayanan Pasar;Retribusi Jasa Umum
4.1.02.02;Retribusi Jasa Usaha;Retribusi Daerah
4.1.02.02.001;Retribusi Pemakaian Kekayaan Daerah;Retribusi Jasa Usaha
4.1.02.02.001.00001;Retribusi Penyewaan Tanah dan Bangunan;Retribusi Pemakaian Kekayaan Daerah
4.1.02.02.001.00002;Retribusi Penyewaan Tanah;Retribusi Pemakaian Kekayaan Daerah
4.1.02.02.001.00005;Retribusi Pemakaian Ruangan;Retribusi Pemakaian Kekayaan Daerah
4.1.02.02.001.00006;Retribusi Pemakaian Kendaraan Bermotor;Retribusi Pemakaian Kekayaan Daerah
4.1.02.02.001.00007;Retribusi Pemakaian Alat;Retribusi Pemakaian Kekayaan Daerah
4.1.02.02.002;Retribusi Pasar Grosir dan/atau Pertokoan;Retribusi Jasa Usaha
4.1.02.02.002.00001;Retribusi Penyediaan Fasilitas Pasar Grosir Berbagai Jenis Barang yang Dikontrakkan;Retribusi Pasar Grosir dan/atau Pertokoan
4.1.02.02.002.00002;Retribusi Penyediaan Fasilitas Pasar/Pertokoan yang Dikontrakkan;Retribusi Pasar Grosir dan/atau Pertokoan
4.1.02.02.004;Retribusi Terminal;Retribusi Jasa Usaha
4.1.02.02.004.00001;Retribusi Pelayanan Penyediaan Tempat Parkir untuk Kendaraan Penumpang dan Bus Umum;Retribusi Terminal
4.1.02.02.004.00002;Retribusi Pelayanan Penyediaan Tempat Kegiatan Usaha;Retribusi Terminal
4.1.02.02.004.00003;Retribusi Pelayanan Penyediaan Fasilitas Lainnya di Lingkungan Terminal;Retribusi Terminal
4.1.02.02.005;Retribusi Tempat Khusus Parkir;Retribusi Jasa Usaha
4.1.02.02.007;Retribusi Rumah Potong Hewan;Retribusi Jasa Usaha
4.1.02.02.008;Retribusi Pelayanan Kepelabuhanan;Retribusi Jasa Usaha
4.1.02.02.009;Retribusi Tempat Rekreasi dan Olahraga;Retribusi Jasa Usaha
4.1.02.02.011;Retribusi Penjualan Produksi Usaha Daerah;Retribusi Jasa Usaha
4.1.02.02.011.00001;Retribusi Penjualan Produksi Hasil Usaha Daerah berupa Bibit atau Benih Tanaman;Retribusi Penjualan Produksi Usaha Daerah
4.1.02.02.011.00003;Retribusi Penjualan Produksi hasil Usaha Daerah berupa Bibit atau Benih Ikan;Retribusi Penjualan Produksi Usaha Daerah
4.1.02.02.011.00004;Retribusi Penjualan Produksi hasil Usaha Daerah selain Bibit atau Benih Tanaman, Ternak, dan Ikan;Retribusi Penjualan Produksi Usaha Daerah
4.1.02.02.019;Retribusi Penjualan Hasil Produksi Usaha Pemerintah Daerah;Retribusi Jasa Usaha
4.1.02.02.020;Retribusi Pemanfaatan Aset Daerah;Retribusi Jasa Usaha
4.1.02.03;Retribusi Perizinan Tertentu;Retribusi Daerah
